PR	BR	Final BR	Domain	Type	RTDs_Status	Table/Topic	Text	Autoparsed?
			Physical Health	known_issue	Done	Growth	"Adjusted age contains N=303 ""unknown missing"" values that are also missing 'Date of Administration'."	Yes
			MRI	pending	Done	Var name length	Variable names for tabulated MRI data (particularly XCP-D outputs) can be upwards of 167 characters, which may exceed variable name limits in some software and lead to truncation or import errors.	Yes
			Demographics	known_issue	Done	Basic Demo	N=14 participants in `sed_basic_demographics` have a Maternal Age at V01 of 0; exclude these values from analyses until corrected.	Yes
R2.1	21.2		Demographics	pending	Done	SU Flags	A derived/rolled up substance use flag for Stimulants will be added based on positive instrument-specific Stimulant results.	Yes
R2.1	21.2		Behavior & Child-Caregiver Interaction	br_known_issue	Done	ERICA	Remove date taken, age, and language fields (computed based on *date coded*) to exclude from patch 2.1 *[BR data only]*.	Yes
	21.2		Behavior & Child-Caregiver Interaction	pending	Done	ECBQ	"Change coding for ""Does not apply"" to 8 to match the IBQ-R."	Yes
	21.2		Pregnancy & Environmental Exposure	known_issue	Done	APA 1/2	APA Level 2 was sometimes administered despite unmet gating criteria (e.g., missing Level 1 responses). These cases are not scored (“No additional inquiry required”) even when Level 2 responses are present. Level 2 item data will be removed to avoid confusion.	Yes
			Pregnancy & Environmental Exposure	known_issue	Done	TLFB	PNR data were incorrectly reported using TLFB versions 1/2 and will be updated to [version 3 specific to PNR](https://docs.hbcdstudy.org/latest/instruments/pregexp/su/tlfb/#v3).	Yes
R2.1			EEG	known_issue	Done	Age fields	Chronological and adjusted age fall outside of 3-9 months in N=74 V03 sessions (site entry errors); exclude age values prior to analysis.	Yes
R2.1	21.1		Neurocognition & Language	pending	Done	Bayley-4	Add item-level scores.	Yes
R2.1	21.2		Social & Environmental Determinants	known_issue	Done	eHITS	Participants missing all item responses are incorrectly scored as `0`; set values to null prior to analysis.	Yes
R2.1			EEG	known_issue	Done	MADE	N=3 V04 session derivatives are missing corresponding tabulated data for FACE/MMN tasks. See [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download) for impacted participant IDs.	Yes
R2.1	21.2		Physical Health	pending	Done	ecPROMIS-PAG	Add scores to `ph_cg_pms__pags`. Until added, scores can be calculated by following the [Scoring Procedures](https://docs.hbcdstudy.org/latest/instruments/physhealth/ecpromis-pags/#scoring) documentation.	Yes
R3			Physical Health	pending	Done	Growth	Add sex-specific birth weight to `ph_ch_anthro` (see [Sex-Specific Birthweight for GA](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
R3			Pregnancy & Environmental Exposure	known_issue	Done	Healthv2 Preg	The field for the date when PNV was stopped (`pex_bm_healthv2_preg__exp__pnv_007__01`) is blank, despite participants having reported stopping.	Yes
R3			Pregnancy & Environmental Exposure	known_issue	Done	Healthv2 Preg	Note that items about aspirin use (`pex_bm_healthv2_preg__exp__pnv_{011|012}`) are largely blank.	Yes
R3			General	pending	Done	Multibirth Cohorts	Missing instrument fields for Sibling cohorts will be populated and *FamilyID* will be added to help identify siblings - [see details](https://docs.hbcdstudy.org/latest/instruments/demo/visitinfo/#warning).	Yes
R3			Behavior & Child-Caregiver Interaction	known_issue	Done	FAD	N=4 V06 participants with <3 item responses are incorrectly scored as `0`; set values to null prior to analysis.	Yes
R3			MRI	known_issue	Done	Run ID	The `run-{X}` field may not reflect chronological acquisition order. While this affects both **raw BIDS and derivatives**, data remain internally consistent (i.e. run IDs match between raw and processed datasets).	Yes
R3			Behavior & Child-Caregiver Interaction	known_issue	Done	MAPS-TL	Notes appear in the score field in both versions (Infant/Toddlerhood) and will be moved to a separate field.	Yes
R3			Behavior & Child-Caregiver Interaction	pending	Done	MAPS-TL (Tod)	Pro-rated scoring for `mh_cg_mapdb__tod` not yet implemented; N=16 participants missing scores.	Yes
R3			Physical Health	known_issue	Done	Growth	The Data Dictionary element `type_data` for `average_bmi` will be corrected to `double` (currently=`character`).	Yes
R3			MRI	pending	Done	Source DICOMs	Add source DICOMs for all imaging modalities.	Yes
R3			Demographics	pending	Done	RESTRUCTURE	The Demographics domain includes 2 tables with derived information grouped into visit-specific data ([Visit Info](https://docs.hbcdstudy.org/latest/instruments/demo/visitinfo/)) and general demographics ([Basic Demographics](https://docs.hbcdstudy.org/latest/instruments/demo/basicdemo/)). In a future release, these tables will be restructured to instead organize variables as either longitudinal (dynamic measures that change over time) or global (static measures, such as sex assigned at birth and race/ethnicity).	Yes
R3			Biospecimens & Omics	known_issue	Done	Nails	Nail type is `4` (Unknown) in the main results table (`*_nails_results`) and should be obtained from the specimen table (`*_nails_type`).	Yes
R3			Pregnancy & Environmental Exposure	pending	Done	PEX Health	ICD codes for the `pex_bm_health*` instrument tables are inconsistently provided, sometimes missing corresponding names/labels. For example, medication names are present for the _Health V1- Medications_, while the _Health V2- Pregnancy_ instrument only has medication codes without corresponding labels. Until resolved, users can use external packages to merge ICD labels if needed: [Stata](https://www.stata.com/features/overview/icd/), [SAS](https://hcup-us.ahrq.gov/toolssoftware/ccsr/dxccsr.jsp), [R](https://www.rdocumentation.org/packages/icd/versions/3.3)	Yes
R3			General	known_issue	Done	Instruction	The 'instruction' Data Dictionary element is currently blank.	Yes
R3			MRI	pending	Done	Scanner Info	Scanner information must currently be parsed from raw BIDS data (specifically the scans .tsv files), as described [here](https://docs.hbcdstudy.org/latest/help/faq/#faq-scanner-info). Future releases will include a dedicated 'MRI Info' table that summarizes scanner information across participants, similar to the ABCD study ([see details](https://docs.abcdstudy.org/latest/documentation/imaging/admin.html#mr_y_adm__info)).	Yes
R3			Behavior & Child-Caregiver Interaction	patch_pending	Done	ERICA	Add all age and `date_taken` fields (currently excluded due to use of coding rather than visit dates).	Yes
R3			Behavior & Child-Caregiver Interaction	known_issue	Done	ecPROMIS CC	N=12 V03 participants with <3 item responses are incorrectly scored as `0` in `mh_cg_pms__cc__inf`; set values to null prior to analysis.	Yes
R3			Behavior & Child-Caregiver Interaction	known_issue	Done	MAPS-TL (<1yr)	N=4 participants with no item responses are incorrectly scored as `0`; set values to null prior to analysis.	Yes
R3			Pregnancy & Environmental Exposure	known_issue	Done	EPDS	Inconsistent scoring: (1) item responses present, but score is null (N=1); (2) all items null, but score is `0` (N≥3).	Yes
R3			Physical Health	known_issue	Done	Growth	Growth (`ph_ch_anthro`) filter ranges will be updated to be visit-specific, as current ranges allow biologically implausible values (see [Range Checks](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
R3			Social & Environmental Determinants	pending	Done	Demo	Add household roster fields capturing the sex of listed individuals (adult & child tables).	Yes
R3			Physical Health	pending	Done	ecPROMIS- Sleep	Add `ph_cg_pms__sleep`  summary scores	Yes
R3			General	known_issue	Done	Implausible GA	A small subset of participants have implausible `gestational_age` (V01 only) values  for one or more instrument. Until corrected, review GA distribution to exclude outliers from analysis (should be positive and generally < 45 weeks).	Yes
			General	pending	Done	Sequence Field	The currently included Sequence field is blank across all instruments and will be removed.	Yes
			Neurocognition & Language	known_issue	Done	MLDS	Total non-parental hours/week (`ncl_ch_mlds_arr_hr_wk`) includes implausible values due to data entry errors. Exclude values >168 hours from analysis.	Yes
			Physical Health	pending	Done	Vision Screener	Add more fields to `ph_ch_vs` (current release only includes completion status and overall screening results).	Yes
			Physical Health	pending	Done	BISQ-SF	Add Infant Sleep (IS) sub-scale score to `ph_cg_bisq`.	Yes
			Behavior & Child-Caregiver Interaction	patch_known_issue	Done	ERICA	For a subset of participants, ERICA Codes (N=17) or Reliability (N=2) form scores are inaccurate; corrected scores are available to DUC-authorized users via the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download). Users should further exclude participants with values of 0 across all scores (N=23 Codes, 12 Reliability) prior to analysis.	Yes
